States,Foss,STEMScopes,AmplifyScience,Tynker,Minecraft,STEMFuse,TechTerraEdducation,AllOtherNGSSCurriculum,SAMLabs,StrawBees,Arduino,AmplifyScience,Ozobot,MakeyMakey,Dremel,BBCmicrobit,Edison,UBTech,Engino,MicrosoftHololens,ClassVR,Prusa,PiTop,KinderlabRobotics,XYZPrinting,Makeblock,Bloxels,Robo3D,HTCVive,Kano,Oculus,Glowforge,Cubelets,BirdbrainTechnology,LulzBot,BeeBots,RaspberryPi,Sparkfun,KNex,SnapCircuits,Ultimaker,Wonderworkshop,Littlebits,Sphero,ZSpace,PascoScientific,Makerbot,Pitsco,Vernier,LEGOEducation,Vex,TOTAL,StudentPopulation,PopulationDensity,DistrictCount
Maryland,"$2,983.73","$10,226.50",$0.00,$399.00,"$9,092.11",$0.00,$0.00,"$2,100,000.00",$0.00,"$1,599.95","$355,499.01",$0.00,"$49,165.10","$12,615.75","$87,429.00",$359.85,"$2,889.00",$0.00,"$3,596.94",$0.00,$0.00,$0.00,$0.00,$429.00,"$3,166.30","$1,868.88","$2,339.89","$10,603.85",$0.00,"$1,399.93","$9,289.00",$0.00,"$5,213.00","$60,415.00","$13,562.00","$102,861.00","$3,750,000.00","$66,555.00","$78,758.00","$181,778.00","$6,060.00","$28,695.00","$122,234.00","$103,176.00","$133,719.00","$157,724.00","$458,884.37","$1,880,000.00","$1,480,000.00","$903,026.00","$2,390,000.00",12464911.82,896827,$13.90,25
Massachusetts,"$14,073.29","$975,173.70","$77,723.00",$0.00,"$17,370.20","$11,999.00",$0.00,"$641,545.00",$149.00,$514.28,"$35,697.69","$77,723.39","$10,697.13","$16,498.43","$17,577.00","$1,338.99","$7,048.64",$0.00,$618.66,$0.00,$0.00,"$17,795.23","$1,940.25","$67,119.41",$347.28,"$2,649.69","$3,372.50",$901.00,$0.00,"$10,465.00","$11,860.00","$30,402.90","$26,297.00","$11,457.73","$15,108.00","$72,600.00","$21,668.00","$35,762.00","$51,199.00","$18,482.40","$41,422.00","$64,246.00","$99,764.00","$74,564.00","$22,992.00","$264,291.00","$479,961.08","$587,705.00","$882,177.00","$637,514.00","$748,827.00",4470753.68,962297,$4.65,432
Michigan,"$36,914.50","$309,442.46","$204,051.00","$47,707.00","$50,076.38","$24,084.19",$0.00,"$4,680,000.00","$7,293.00","$5,630.48","$23,397.11","$199,125.51","$58,776.56","$34,837.02","$100,377.00","$1,047.68","$5,246.25","$1,056.15",$798.02,$0.00,"$39,016.77","$7,246.01",$0.00,$0.00,"$11,063.73","$1,812.37","$16,614.37","$7,209.00","$3,595.00","$5,796.00","$22,820.00","$76,370.00","$12,083.00","$13,765.00","$21,052.00","$16,936.00","$25,256.00","$43,051.00","$60,441.00","$18,824.00","$64,932.00","$113,799.00","$163,711.00","$194,926.00","$199,932.00","$429,586.00","$675,300.25","$940,436.00","$2,130,000.00","$1,470,000.00","$1,990,000.00",9213158.28,1504194,$6.12,902
Minnesota,"$176,239.00","$9,126.63","$30,542.00","$125,634.00","$192,318.29","$173,038.18",$0.00,"$1,520,000.00","$4,097.00","$5,525.02","$100,606.45","$30,255.80","$32,718.20","$30,493.36","$70,043.00",$323.50,"$15,184.75",$832.86,"$1,304.02",$0.00,"$30,919.15","$20,307.00","$1,899.90","$10,605.50","$3,826.79","$2,984.64","$32,040.92","$6,582.00","$5,185.00","$10,503.00","$22,465.00","$24,549.00","$58,128.00","$11,451.00","$18,369.00","$71,318.00","$63,630.00","$36,534.00","$590,294.00","$120,726.00","$65,761.00","$132,355.00","$224,949.00","$289,457.00","$232,358.00","$353,942.00","$862,613.90","$1,030,000.00","$2,310,000.00","$2,050,000.00","$2,850,000.00",11835137.76,889304,$13.31,574
Mississippi,"$15,610.21","$394,497.90",$0.00,"$5,130.00","$1,025.60",$0.00,$0.00,"$107,023.00","$3,898.96","$6,713.99","$1,458.70",$0.00,$615.88,"$2,117.93","$19,896.63",$77.98,"$6,679.68",$0.00,$142.60,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,984.64",$499.00,$800.00,"$1,519.00",$75.84,"$2,183.00",$0.00,"$2,099.00","$1,249.20","$2,375.00",$800.00,$915.81,$948.00,"$20,928.00","$6,086.60",$70.00,"$39,187.00","$6,680.00","$46,671.00","$3,895.00","$31,631.00","$88,432.09","$101,802.00","$37,162.00","$111,604.00","$439,808.00",992007.53,471298,$2.10,155
Missouri,"$80,653.00","$56,529.36","$390,907.00","$62,896.80","$114,482.16","$1,498.00",$169.44,"$2,450,000.00","$1,968.00","$4,513.00","$39,392.62","$357,419.00","$100,217.13","$55,937.81","$124,607.00","$3,244.18","$10,225.27",$149.95,"$2,076.39",$0.00,"$34,757.97","$13,461.23",$0.00,"$3,672.43",$870.53,"$7,219.39","$47,425.81","$9,691.00","$7,224.00","$1,451.00","$10,281.00","$65,428.00","$64,229.00","$33,784.00","$93,853.00","$42,420.88","$42,124.00","$21,761.00","$152,454.00","$114,915.00","$105,453.00","$69,130.00","$199,643.00","$293,414.00","$547,129.00","$478,634.00","$561,643.99","$943,004.00","$2,970,000.00","$1,850,000.00","$3,020,000.00",12504824.58,913441,$13.69,564
Montana,"$2,514.70",$527.00,"$141,555.00","$8,850.00","$4,077.05",$0.00,$0.00,"$4,900,000.00",$0.00,$494.20,"$3,432.89","$141,555.04","$10,638.74","$5,054.50","$4,587.41",$0.00,$369.00,"$3,099.71",$0.00,$0.00,$0.00,"$3,359.07",$0.00,$251.90,$0.00,786.38*,$800.00,$0.00,"$2,356.76",$369.01,$0.00,"$2,594.00","$2,747.58",$0.00,"$15,103.00","$2,446.55","$7,346.00","$4,865.00","$4,406.00","$4,078.00",$0.00,$967.00,"$9,686.00","$21,641.00","$69,996.00","$13,258.00","$97,946.99","$76,346.00","$295,553.00","$204,103.00","$428,100.00",1437551.35,148844,$9.66,488
Nebraska,"$65,634.10","$529,064.55","$1,650,000.00",4740*,"$8,894.58","$16,588.60",$0.00,"$938,109.00",$0.00,"$3,689.00","$21,765.41","$1,219,899.00","$27,394.72","$40,440.91","$80,840.00","$8,630.85","$4,518.00",$0.00,"$1,671.69","$20,997.00",$0.00,"$16,644.57",$0.00,$0.00,"$1,455.15","$5,871.54","$10,366.80",$54.00,$800.00,"$1,016.00","$5,339.88","$22,468.00","$24,259.00","$3,247.00",$120.00,"$16,774.00","$13,599.00","$49,929.00","$31,442.00","$34,836.00","$87,862.00","$179,028.00","$67,678.00","$118,208.00","$194,907.00","$201,183.00","$398,686.75","$1,200,000.00","$1,000,000.00","$362,459.00","$1,480,000.00",6958080.27,326392,$21.32,279
Nevada,"$24,698.94","$12,500.00","$322,389.00","$23,993.72","$9,995.33","$12,842.74",$575.10,"$363,843.00",$0.00,$35.99,"$10,434.49","$77,430.00","$10,736.83","$20,588.69","$57,057.00",$394.80,$0.00,$484.90,$738.42,$0.00,$0.00,"$1,498.00",$0.00,"$23,853.00","$1,480.54","$1,708.42",$29.25,"$4,995.00",$499.00,"$5,590.00",$0.00,"$6,688.00","$18,800.76","$6,785.00","$39,406.00","$4,953.78","$41,701.00","$11,728.00","$27,407.00","$26,435.00","$58,863.00","$26,475.00","$69,877.00","$148,797.00","$2,310,000.00","$91,962.00","$135,853.52","$131,080.00","$248,781.00","$435,934.00","$2,000,000.00",6059081.39,498614,$12.15,21
New Hampshire,$286.46,$0.00,$0.00,"$1,400.00","$3,459.58","$1,499.00",$0.00,"$113,460.00",$0.00,$0.00,"$3,703.34",$0.00,"$4,883.97","$3,308.42","$11,241.00",$0.00,$671.59,$0.00,$44.10,$0.00,$0.00,$0.00,$0.00,$480.90,$0.00,$0.00,$0.00,$0.00,$800.00,$169.98,$0.00,$0.00,$0.00,$488.00,$0.00,"$6,566.86","$6,656.00","$5,989.00","$5,690.00","$3,931.00","$5,919.00","$7,731.00","$5,667.00","$6,570.00","$51,190.00","$12,284.00","$68,663.47","$69,185.00","$143,036.00","$106,570.00","$134,528.00",665967.63,178515,$3.73,308
